rule	lat	eng
45	Cōnstituit Caesar ut Antōnius cōnsul fieret.	Caesar determined that Antony should be made consul.
45	Voluit Caesar Antōnium cōnsulem fierī.	Caesar determined that Antony should be made consul.
46	Caesarī nūntiātum est adesse Gallōs.	News was brought to Caesar that the Gauls were at hand.
46	Haec mihi facere vīsum est.	It seemed good to me (I resolved) to do this.
47	Et pater mihi et māter mortuī sunt.	Both my father and mother are dead.
47	Et ego et soror mea ad praetōrem vocātī erāmus.	Both my sister and I had been summoned to the praetor.
48	Fidēs tua et pietās laudandae sunt.	Your good faith and dutifulness are to be praised.
48	Glōria, dīvitiae, honōrēs incerta ac cadūca sunt.	Glory, riches, and distinctions are uncertain and perishable things.
48	Fidēs et pietās laudanda sunt.	Good faith and a sense of duty are to be praised.
48	Spernendae igitur sunt dīvitiae et honōrēs.	Riches then, and distinctions, are to be despised.
48	Mihi prīncipātus atque imperium dēlātum est.	The sovereignty and chief power were offered to me.
49	Terrās omnēs et maria perlūstrāvit.	He travelled over all lands and seas.
50	Bonī sapientēsque ex cīvitāte pelluntur.	The good and wise men are being banished.
50	Iam nostrī aderant.	Our men (or soldiers) were now at hand.
50	Omnia mea mēcum portō.	I am carrying all my property with me.
53	Vēra et falsa.	Truth and falsehood
53	Vēra dīcēbat.	He was speaking the truth.
54	Magna spērābat.	His hopes were high.
54	Multa cōgitābat.	He was revolving many thoughts.
54	Illa ausus est.	He ventured on those enterprises.
54	Multa mentītus est.	He told many falsehoods.
54	Haec secūtus est.	This was his object.
54	Quae mentītus est?	What falsehoods has he told?
55	Cicerōnis est amīcus.	He is the friend of Cicero.
55	Cicerōnī est amīcus.	He is friendly to Cicero.
55	Multa fuēre eius et praeclāra facta.	Many and distinguished were his deeds.
55	Multa ab eō praeclārē facta sunt.	Many distinguished things were performed by him.
56	Multae nāvēs longae.	Many ships of war.
58	Rēs aliēnae.	The affairs of others.
58	Condiciō servīlis.	The condition (or state) of slavery.
58	Vir fortis.	A man of courage.
58	Pugna Cannēnsis.	The battle of Cannae.
58	Populus Rōmānus.	The people of Rome.
58	Vir fortissimus.	A man of the greatest courage.
59	Corporis dolor.	Bodily pain.
59	Omnium iūdiciō.	By a unanimous verdict.
59	In hōc omnium lūctū.	In this universal mourning.
59	Meā ūnīus sententiā.	By my single vote.
59	Post hominum memoriam.	Within human memory.
60	Summus mōns.	The top of the mountain
60	In mediam viam.	Into the middle of the road.
60	Reliquum opus.	The rest of the work.
60	Īma vallis.	The bottom of the valley.
60	Novissimum agmen.	The rear of the line of march.
60	Tōta Graecia.	The whole of Greece.
60	Summa temeritās.	The height of rashness.
61	Invītus haec dīcō.	I say this unwillingly.
61	Tacitus haec cōgitābam.	I was meditating silently on these subjects.
61	Imprūdēns hūc vēnī.	I came here unawares.
61	Incolumis rediī.	I returned safely, or in safety.
61	Absēns condemnātus est.	He was condemned in his absence.
61	Tōtus dissentiō.	I disagree wholly.
61	Frequentēs convēnēre.	They came together in crowds.
61	Vīvus.	In his lifetime
61	Mortuus.	After his death
61	Dīversī fūgēre.	They fled in opposite (or different) directions.
62	Prīmus haec fēcit.	He was the first who did this, or to do this.
62	Sōlus mala nostra sēnsit.	He was the only person who perceived our evils.
62	Ultimus vēnisse dīcitur.	It is said that he was the last to come.
63	Hoc puer  didicī.	I learned this lesson in my boyhood.
63	Hoc cōnsul vōvit.	He made this vow in his consulship.
63	Victor rediit.	When victorious he returned.
64	Piē.	With a good conscience.
64	Dīvīnitus.	By a supernatural interposition.
64	Omnīnō.	Speaking in general, as a general rule, etc.
64	Nūllō negōtiō.	Easily.
64	Dubitārī nōn potest quīn	Indisputably.
64	Opportūnē accidit ut...	Fortunately.
64	Fierī potest ut...	Possibly.
64	Errāre tē manifēstum est.	You are obviously mistaken.
64	Aegrōtāre vidēris.	You are apparently unwell.
65	Mulierem aspiciō quae piscēs vēndit.	I see a woman who is selling fish.
65	Ubi est puer cui librum dedistī?	Where is the boy to whom you gave the book?
65	Adsum quī fēcī.	I, who did the deed, am here.
66	Pater eius et māter quī aderant.	His father and mother who were present.
66	Dīvitiae et honōrēs quae cadūca sunt.	Riches and distinctions, which are perishable.
67	Tīmoleōn, id quod difficilius putātur, sapientius tulit secundam quam adversam fortūnam.	Timoleon, though this  is thought the more difficult task, bore prosperity more wisely than adversity.
67	Multae cīvitātēs ā Cyrō dēfēcērunt, quae rēs multōrum bellōrum causa fuit.	Many states revolted from Cyrus; and this was the cause of many wars.
67	Ille, id quod audiistī, Rōmae mortem obiit.	He, as you have heard, died at Rome.
68	Hic est quem vīdī.	This is the man I saw.
68	Librōs quōs voluit repperit.	He found the books he wanted.
69	Volscī cīvitātem, quam habēbant optimam, perdidērunt.	The Volsci lost the best city they had.
69	Equitēs, quōs paucōs sēcum habuit, dīmīsit.	He sent away the few mounted men whom he had with him.
69	Quā erat animī benignitāte, omnibus veniam dedit.	Such was his kindliness, he pardoned all.
70	Is sum quī semper fuī.	I am the man I always was.
71	Quī haec vidēbant, flēbant.	Those who saw this wept.
71	Eīs, quī adstābant, īrāscēbātur.	He was angry with those who stood by.
72	Eum quī haec facit ōdī.	I hate one who (or a man who) does this.
72	Eōs quī haec faciunt ōdī.	I hate men who do this.
72	Quī haec faciunt, peiōra facient.	Men who are doing this will do worse.
73	Adstantium clāmōre perterritus.	Alarmed by the shouts of the bystanders.
73	Interrogantibus respondit.	He replied to those who questioned him.
75	Quī tum tē dēfendit, is hodiē accūsat.	The very man who then defended you is today accusing you.
76	Quī mē cēpērunt.	My captors.
76	Quī mē vīcit.	My conqueror.
76	Ea quae vēra sunt.	The truth.
77	Est flūmen quod appellātur Tamesis.	There is a river which is called the Thames.
77	Mulierem aspiciō quae piscēs vēndit.	I see a woman who is selling fish.
77	Ait sē mulierem aspicere quae piscēs vēndat.	He says that he sees a woman who is selling fish.
78	Ad rēgem vēnī, quem cum vīdissem...	I came to the king, and when I had seen him...
79	Dīxit prōditōrem esse eum ... quem brevī peritūrum esse.	He said that he was a traitor ... and that he would soon perish.
80	Nēmō est quīn tē dēmentem putet.	There is no one but thinks you mad (=the whole world thinks, etc.)
80	Nēmō fuit quīn vīderim.	There was no one whom I did not see.
81	Prīmus haec fēcit.	He was the first who did this.
82	Agricolam laudat iūris lēgumque perītus.	It is the farmer whom the lawyer praises.
83	Thēbae, quod Boeōtiae caput est.	Thebes, which is the capital of Boeotia.
83	Ea vēra est pietās.	That is true piety.
84	Tālis est quālis semper fuit.	He is such as (of the same character as) he has ever been.
84	Tantam habeō voluptātem quantam tū.	I have as much pleasure as you.
84	Tot erant mīlitēs quot maris flūctūs.	The soldiers were as many as the waves of the sea.
84	Īdem est quī semper fuit.	He is the same as he has always been.
84	Rēs perācta est eōdem modō quō anteā.	The thing has been done in the same manner as before.
85	Quot adstābant hominēs, tot erant sententiae.	There were as many opinions as there were men standing by.
85	Quālis fuit domina, tālem ancillam inveniēs.	You will find the maid of the same character as her mistress was.
87	Huius modī hominēs ōdī.	I hate such men as these.
88	Haec tanta multitūdō.	This great number of men.
88	Hic tam bonus vir.	So good a man as this.
89	Inde vēnistī, unde ego.	You have come from the same place as I.
89	Eō rediit, unde profectus est.	He returned to the place from which he had set out.
90	Eadem ac tū sentiō.	My views are the same as yours.
91	Rēs aliter quam exspectāvī ēvēnit.	The matter turned out contrary to my expectation.
93	Ubi tū es, ibi est frāter tuus.	Your brother is in the same place as you.
93	Quālis fuerit frāter tuus, tālem tē esse dīcunt.	They say that you are of the same character as your brother was.
94	Sedēre mē dēlectat.	Sitting delights me.
95	Nihil agere mē dēlectat.	Doing nothing is a pleasure to me.
95	Turpe est mentīrī.	Lying is disgraceful.
95	Homō cui vīvere est cōgitāre.	Man, to whom living is thinking.
95	Errāre, nescīre, et malum et turpe dūcimus.	To err, to be ignorant, we deem both unfortunate and disgraceful.
95	Laudārī, quod plērīsque grātissimum est, mihi molestissimum est.	To be praised, which is very pleasant to most men, is to me most disagreeable.
96	Bene arāre est bene colere.	Good ploughing is good farming.
96	Haec perpetī et patriā carēre, miserrimum est.	To endure these things and to be deprived of one’s country, is most wretched.
96	Haec facere (fēcisse, factūrum esse).	The doing (the having done, the being about to do) this.
96	Tē hoc dīcere mihi est grātissimum.	Your saying this is most welcome to me.
101	Multī aliōs laudant, ut ab illīs laudentur.	Many men praise others, that they may be praised by them.
101	Multī aliōs laudābant, ut ab illīs laudārentur.	Many men were praising others, in order to be praised by them.
101	Gallīnae avēsque reliquae pennīs fovent pullōs, nē frīgore laedantur.	Hens and other birds cherish their young with their feathers, that they may not be hurt by the cold.
101	Gallīnae avēsque reliquae pennīs fovēbant pullōs, nē frīgore laederentur.	Hens and other birds were cherishing their young with their feathers, that they might not be hurt by the cold.
102	Medicō puto aliquid dandum esse, quō sit studiōsior.	I think that something should be given to the physician, that he may be the more attentive.
103	Hoc fēcī nē tibi displicērem nēve amīcīs tuīs nocērem.	I did this to avoid displeasing you, or injuring your friends.
105	Haec scrībō (scrīpsī, scrībam, scrīpserō) ut bonō sīs animō.	I write (have written, shall write, shall have written) this, in order that you may be in good spirits.
105	Haec scrībēbam (scrīpsī, scrīpseram) ut bonō essēs animō.	I was writing (wrote, had written) this, in order that you might be in good spirits.
105	Dīcō eum vēnisse ut pācem peteret.	I say he came to seek peace.
x	x	x
126	Accidit ut nēmō senātor adesset.	It happened that no senator was present
126	Ex quō factum est ut bellum indīcerētur.	The consequence of this was that war was declared.
127	Cāsū accidit.	It happens by chance.
127	Ēvenit.	It happens.
127	Ita fit.	Thus it happens.
127	Quī fit?	How happens it? How is it?
127	Fierī potest.	It can happen. It is possible. Possibly.
127	Nūllō modō fierī potest.	It is quite impossible.
127	Sequitur, proximum est.	It follows. The next thing is.
127	Reliquum est, restat.	It remains.
128	Tantum abest ut nostra mīrēmur, ut nōbīs nōn satisfaciat ipse Dēmosthenēs.	So far are we from admiring our own works, that Demosthenes himself does not satisfy us.
129	Atticus, nē qua sibi statua pōnerētur, restitit.	Atticus opposed having any statue raised to himself.
129	Nāvēs ventō tenēbantur quōminus in portum redīrent.	The ships were prevented by the wind from returning into harbour.
130	Caesar mīlitēs pedem referre vetuit.	Caesar forbade his soldiers to retreat.
130	Nōn recūsō abīre.	I do not object to going.
131	Plūra nē dīcam impedior.	I am prevented from saying more.
131	Per tē stetit quōminus vincerēmus.	You were the cause of our not winning the day.
131	Nōn recūsābō quōminus tē in vincula dūcam.	I will not object to taking you to prison.
131	Germānī retinērī nōn poterant quīn tēla conicerent.	The Germans could not be restrained from hurling their weapons.
132	Vix inhibērī potuit quīn saxa iaceret.	He could scarcely be prevented from throwing stones.
132	Num quis obstat quīn vēra dīcas?	Does anyone prevent your telling the truth?
133	Quīn tū tacēs?	Why do you not keep silent?
133	Quīn Deciōs aspice.	Look at the Decii.
134	Nihil tam difficile est quīn investīgārī possit.	Nothing is so difficult that it cannot be discovered.
134	Nec multum āfuit quīn interficerēmur.	And we were not far from losing our lives.
134	Nūllō modō fierī potest quīn errem.	It is quite impossible that I am not mistaken, or but that I am, etc.
134	Facere vix potuī quīn tē accūsārem.	It was scarcely possible for me not to accuse you.
134	Nec eum umquam adspexit, quīn frātricīdam compellāret.	And she never beheld him without calling him a fratricide.
135	Nōn dubium erat quīn plūrimum Helvētiī possent.	There was no doubt that the Helvetii were the most powerful.
135	Quis dubitat quīn hoc fēcerīs?	Who doubts but that you did this?
136	Dubitō num veniat.	I am uncertain whether he is coming.
137	Vereor nē veniat.	I fear that he will come.
137	Vereor ut veniat.	I fear that he will not come.
137	Meritus sum ut venīret.	I feared that he would not come.
137	Perīculum erat nē hostēs urbem expugnārent	There was a danger of the enemy’s taking the city.
137	Vereor nē exercitum firmum habēre nōn possit.	I fear he cannot have a strong army.
138	Vereor ut hoc tibi prōfutūrum sit.	I am afraid that this is not going to do you good.
139	Caesar timēbat flūminī exercitum obicere.	Caesar was unwilling to expose his army to the river.
140	Ad mē venī.	Come to me.
140	Audīte hoc.	Hear this.
141	to be included?	x
142	Postrēmus loquāris, prīmus taceās.	Be you the last to speak, the first to be silent.
143	Nōlī hoc facere.	Do not do this.
143	Cavē nē hoc faciās.	Do not do this.
143	Nē dubitāverīs.	Do not hesitate.
143	Nē multa discās, sed multum.	Do not learn many things, but learn deeply.
144	Nē veniat.	Let him not come.
145	Exeat nēve plūra dīcat.	Let him go out and say no more.
145	Hoc facitō; illud nē fēcerīs, nēve dīxerīs.	Do this; do not do or say that.
146	Dē hāc rē tū vīderis.	I leave this to you.
146	Vīderint sapientiōrēs.	Let wiser men, decide.
147	Istam nē relīquerīs!	Do not leave her!
147	Dī prohibeant.	May the gods forbid.
147	Sī veniās, videās.	If you should come, you would see.
149	Abeat.	Let him go away.
149	Amēmus patriam.	Let us love our country.
149	Nē dubitāverīs.	Do not hesitate.
149	Nē veniat.	Let him not come.
149	Sit fūr.	Granted that he is a thief.
149	Fuerit malus cīvis.	Suppose he was a bad citizen.
149	Quō mē nunc vertam?	Where am I now to turn?
149	Nōnne argentum redderem? Nōn redderēs.	Ought I to have returned the money? You ought not.
150	Sīs fēlīx!	May you be happy!
150	Utinam adessēs!	Would that you were here!
150	Utinam potuissem!	Would I had been able!
150	Quod utinam nē faciātis!	And may you never do this!
151	Hanc viam sī asperam esse negem, mentiar.	If I were to deny that this road is rough, I would lie.
151	Sī faciās, peccēs.	If you were to do it, you would sin.
151	Sī facerēs, peccārēs.	If you were doing it, you would be sinning.
151	Sī fēcissēs, peccāvissēs.	If you had done it, you would have sinned.
152	Hoc tū dīcere audeās?	Would you dare to say this?
152	Migrantēs cernās.	One would see them leaving.
152	Crēderēs victōs.	You have thought they were vanquished.
152	Dīcat aliquis.	Someone would say.
152	Vix crēdiderim.	I should scarcely believe.
152	Velim adsīs.	I should wish you were here.
152	Vellem adessēs.	I wish you had been here.
153	Potuī hoc facere.	I might have done this.
153	Hoc dēbuistī facere.	You ought to have done this.
153	Ille interficiendus erat, sī hoc fēcisset.	He ought to have been killed if he had done this.
153	Haec omnia dīcere longum est.	It would be a lengthy task to tell the whole story.
154	Cur vēnit?	Why did he come?
154	Quid faciam?	What am I to do?
154	Num id fēcissēs?	Would you have done it?
156	Scrībitne Gaius?	Is Gaius writing?
156	Praetōremne accūsās?	Is it a praetor whom you are accusing?
156	Mēne fugis?	Is it from me that you are fleeing?
156	Num putās?	Surely you don’t fancy, do you?
156	Nōnne putās?	Surely you do fancy, don’t you?
157	Quid fēcit?	What has he done?
157	Quod facinus admīsit?	What sort of crime has he committed?
157	Num quis est quī...	Is there anyone who...
157	Quantum cibī?	How much food?
157	Quotus quisque est disertus	How few men are eloquent.
157	Quoūsque tandem?	To what point, I ask?
157	Quae tandem causa?	What possible cause?
159	Utrum hostem, an ducem, an vōsmet ipsōs culpātis?	Is it the enemy, or your general, or yourselves that you blame?
159	Servīne estis an līberī?	Are you slaves or freemen?
159	Erum vīdistī an ancillam?	Did you see the master or the maid?
159	Hoc illudne fēcistī?	Did you do this or that?
161	An servī esse vultis?	Or is it that you wish to be slaves?
162	Vīsne hoc facere? Velle sē, nōlle sē, respondit.	Are you ready to do this? He answered “yes,” “no.”
162	Num hoc fēcistī?	Have you then done this?
162	Negō.	I answer “no.”
162	Fēcī, inquam.	I answer “yes.”
162	Aiō.	I say “yes.”
163	Quis es?	Who are you?
163	Cūr hoc fēcistī?	Why have you done this?
163	Rogō quis sit	I ask who he is.
163	Dīc mihi cūr hoc fēcerīs	Tell me why you did this.
164	Quis eum occīdit?	Who killed him?
164	Quis eum occīderit quaerō.	I ask who killed him.
165	Quid faciendum sit moneō monēbōque.	I warn and will warn you what you ought to do.
165	Quandō esset reditūrus metuī.	I had fears as to when he would return.
165	Cūr haec fēcerit mīror.	I wonder why he did this.
165	Incertum est num hoc vērum sit.	It is uncertain whether this is true.
167	Epamīnōndās quaesīvit salvusne esset clipeus.	Epaminondas asked whether his shield was safe.
167	Dīc mihi num eadem quae ego sentiās.	Tell me if you have the same opinion as I.
167	Quaesīerās ex mē, nōnne putārem, etc.	You had inquired of me whether I did not suppose, etc.
168	Utrum servī sītis an līberī nihil rēfert.	It matters not whether you are slaves or free.
168	Servīne sītis an līberī nihil rēfert.	It matters not whether you are slaves or free.
168	Servī sītis an līberī nihil rēfert.	It matters not whether you are slaves or free.
168	Itūrus sit necne, rogābimus.	We shall ask whether or not he is about to go.
169	Difficile hoc est, tamen haud scio an fierī possit.	This is difficult, yet I incline to think that it is possible.
169	Nescio quis venit.	Someone is coming.
169	Nescio quis veniat.	I do not know who is coming.
170	Forte cecidit.	He happened to fall.
170	Forte abest.	He is accidentally absent.
170	Forsitan absit.	Perhaps he is absent.
170	Nescio an absit.	Perhaps he is absent.
170	Fortasse abest.	Perhaps he is absent.
171	Moriēre sī haec fēceris.	You shall die if you do this.
171	Num haec fēcerīs rogō.	I ask if you did this.
171	Seu vult seu nōn vult, ībit.	He shall go, whether he likes it or no.
171	Utrum velit an nōlit rogō.	I ask whether he likes it or not.
171	Aut sapiēns est aut stultus.	He is either a wise man or a fool.
171	Utrum sapiēns sit an stultus nescio.	I don’t know whether he is a wise man or a fool.
