lemma	lat	eng
aether	Juppiter aethere summō dēspicit	Jupiter looks down from the top of the sky
aevum	in omne aevum	for all time
aevum	aevum omne et breve et fragile est	every life is brief and fleeting
affectus	dīversōs affectūs exprimere, flentīs et gaudentīs	to express contrary feelings, to cry and to rejoice
affero	epistulam ad aliquem afferre	to bring a letter to someone
affero	crēbrī rūmōrēs afferuntur	numerous rumors are reported
affero	alicui mortem afferre	to cause someone’s death
afficio	aliquem laetitiā afficere	to make someone joyful
afficio	eum magnā difficultāte afficiēbat	he was influencing him with great difficulty
age	age, perge, quaesō!	come, continue, please!
ago	praedam prae sē agere	to drive plunder in front of oneself
ago	vītam agere	to live life
ago	tua rēs agitur	your matter is in question
ago	animus semper appetit aliquid agere	the soul always attempts to do something
ago	agēbant cum eō ut dē eā mente dēsisteret	they were trying to persuade him to abandon his way of thinking
aggredior	hīs praecēpit omnēs mortālēs pecūniā aggrediantur	he instructed them to influence all men with money
aggredior	eā dē rē disserere aggredior	I am beginning to discuss this matter
agito	rēs multum agitāta	a matter much engaged in
agmen	agmen magis quam aciēs	a column more than a battle line
agnosco	deōs agnōscō	I recognize the gods
agnosco	aliquem ducem agnōscere	to recognize someone as leader
agnus	inter audācēs lupus errat agnōs	a wolf wanders among reckless lambs
agrestis	vīta agrestis	country living
agrestis	animus agrestis ac dūrus	an uncultured and rough mind
ait	ut ajunt	as they say
ala	praefectus ālae	the commander of the cavalry
alo	fīliae ejus pūblicē aluntur	his daughters are being raised at the public expense
alo	cīvitātem alere	to support the state
ales	equus āles	a winged horse
alienus	aes aliēnum	another’s money, debt
alienus	hominēs aliēnissimī	complete strangers
alienus	aliēnō tempore	at an unfavorable time
alioqui	mīlitēs tantum dēfuērunt, aliōquī magnificus triumphus fuit	only the soldiers were lacking, otherwise it was a splendid triumphal procession
aliquando	erit aliquandō ille diēs	at some time that day will come
aliquis	aliquis dīxerit	someone might say
aliquis	sī quis quid rūmōre accēperit	if someone has understood something from a rumor
aliter	nōn aliter quam sī ruat omnīs Carthāgō	not in another way than if all Carthage came to ruin
alius	illī sunt aliō ingeniō atque tū	they have a different dispositon than you do
alius	alius ... alius	the one ... the other
alius	alius aliō fugit	some flee in one direction, others in another
almus	almae nūtrīcis blanda loquella	the coaxing speech of the nourishing nurse
alter	altera ex duābus legiōnibus	the second of the two legions
alter	prīmus, alter, tertius	first, second, third
amo	nihil est tam angustī animī quam amāre dīvitiās	nothing is so narrow minded as loving wealth
amarus	sermō amārus	an offending speech
ambitio	per ambitiōnem probōs sē simulāvērunt	through the campaign they make themselves seem like excellent men
amicitia	in amīcitiam Populī Rōmānī venīre	to come into an alliance with the Roman people
amitto	duce āmissō exercitus dīlāpsus est	with the leader lost, the army dispersed
amnis	rapidus amnis	a rapid river
amor	difficile est longum subitō dēpōnere amōrem	it is hard to end an enduring passion suddenly
amplector	genua amplectēns effātur tālia supplex	clinging to his knees as a suppliant, he spoke forth such things
amplector	nox tellūrem amplectitur	night embraces the land
amplus	amplissimō genere nātus	a son from the grandest stock
amplus	nihil amplius dīxit	he said nothing more
an	dīcam huic an nōn dīcam?	shall I speak to him or shall I not?
an	nesciō an hoc futūrum sit	I know not whether this will be
anguis	latet anguis in herbā	a snake lurks in the grass
angustus	nihil est tam angustī animī quam amāre dīvitiās	nothing is so narrow minded as loving wealth
anima	animam dūcere	to draw in breath
anima	animus est quō sapimus, anima quā vīvimus	through the animus we are wise, we live through the soul
animadverto	īnstituerās animadvertere in eōs	you had decided to punish them
animal	animal prōvidum et sagāx homō est	man is a prudent and wise being
animal	ratiōnī nūllum animal obtemperat	no animal obeys reason
animus	crēdō deōs immortālēs sparsisse animōs in corpora hūmāna	I believe that the immortal gods have distributed souls in human bodies
animus	difficile est animum perdūcere ad contemptiōnem animae	it is hard to bring a man’s mind to scorn his life
animus	plēbis animum ōrātiōne accendit	he inflamed the passion of the masses with his speech
animus	ea rēs multum animīs eōrum addidit	this affair added much to their courage
annus	ineunte annō	at the beginning of the year
ante	multīs annīs ante	in many years before
ante	Hannibal ante portās!	Hannibal stands before the gates!
antiquus	antīquissimīs temporibus	in the earliest times
anxius	ānxius animī	anxious in the heart
aperio	portam aperīte	open the gate
aperio	occulta quaedam et quasi involūta aperuit	he revealed certain hidden and, as it were, complicated things
apertus	invidia in occultō, adūlātiō in apertō erant	ill-will was in hiding, flattery in the open
apis	apēs īnsīdunt flōribus	bees settle on the flowers
appareo	appārent rārī nantēs in gurgite vastō	here and there swimmers appear in the vast whirlpool
apparet	servum hunc dominī pauperis esse apparet	it is clear that the slave belongs to a poor master
appello	mīlitēs benignē appellāvit	he addressed the soldiers kindly
appeto	animus semper appetit aliquid agere	the soul always attempts to do something
appeto	aliēnī appetēns	desirous of another’s property
appono	lūmen in mēnsā appositum	a lamp set on the table
aptus	quod tuae aetātī est aptissimum	that which is most appropriate for your age
apud	sēdēre apud aliquem	to sit beside someone
aqua	Thalēs aquam dīxit esse initium rērum	Thales said that water was the first principle of substances
ara	prō arīs et focīs pugnāre	to fight on behalf of the altars and hearths
arbitrium	suī arbitriī esse	to be one’s own boss
arbitror	ut ego arbitror	as I see it
arbor	nūllam sacrā vīte prius sēverīs arborem	you must plant no tree before the sacred vine
arceo	aliquem aditū arcēre	to prevent someone from entering
arcesso	Gallōs auxiliō arcessīvit	he summoned the Gauls for aid
arcus	nōn semper tendit arcum Apollō	Apollo does not always stretch his bow
ardeo	tua rēs agitur pariēs cum proximus ārdet	your property is disturbed when a neighboring wall is on fire
ardeo	omnēs ārdēbant ad ulcīscendum	all were burning to take vengence
arduus	aequam mementō rēbus in arduīs servāre mentem	be sure to preserve a level mind in adverse circumstances
arena	aestū miscentur arēnae	the sands are stirred up by the waves
argutus	dicta argūtissima	very pointed words
aridus	lignum āridum	dry wood
arma	arma īnferre	to begin a war
arma	arma nāvis	the tackle of a ship
armatus	armātī	soldiers
arrigo	arrēctīs auribus adstant	they stand with their ears upright
arripio	tempus arripere	to seize the opportunity
ars	Ennius ingeniō maximus, arte rudis erat	Ennius was the greatest in talent, but he was unpolished in technique
ars	ars ea quam Graecī philosophiam vocant	that art which the Greeks call philosophy
ars	ars rhētorica	the art of rhetoric
artus	somnus fessōs artūs complectitur	sleep enfolds their wearied limbs
arvum	arva laeta	fertile land
arx	arcem capitōliī īnsidēbant	they were occupying the citadel of the Capitol
asper	loca aspera et montuōsa	harsh and mountainous regions
asper	opīniōne asperius	more difficult than expected
aspernor	amīcitiam alicujus aspernārī	to spurn someone’s friendship
aspicio	Juppiter haec oculīs aspicit aequīs	Jupiter beholds these things with impartial eyes
assequor	sī Rōmae es, jam mē assequī nōn potes	if you are in Rome, you can no longer reach me
assequor	omnēs honōrēs assecūtus est	he has obtained all public honors
assiduus	sīdera assiduō sunt omnia mōtū	the stars are all in continuous motion
astrum	sīc ītur ad astra	thus one obtains immortality
ater	diēs Cannēnsīs diēs āter	the day of Cannae is a black day
atqui	ō rem difficilem et inexplicābilem! atquī explicanda est	o difficult and inexplicable matter! But yet it must be explained.
atrox	atrōx ingenium	a horrible character
atrox	proelium atrōx	fierce fighting
attingo	ut prīmum forum attigī	when I first applied myself to public affairs
auctor	auctor generis	the founder of a race
auctor	auctor bellī	the instigator of war
auctor	auctor rērum	author, writer, historian
auctoritas	plūs apud mē antīquōrum auctōritās valet	the authority of the ancients carries more weight with me
auctoritas	patrum auctōritāte	with the sanction of the Senate
audacia	ūna in audāciā spēs salūtis est	the only hope for safety lies in courage
audeo	locūtī magis quam ausī sunt tantum facinus	they were talking about such a crime more than venturing to do it
audio	nōn eum querentem quisquam audīvit	no one ever heard him complaining
audio	saepe hoc majōrēs nātū dīcere audīvī	I often heard the elders say this
augeo	perīculum in diēs augētur	danger is increased day by day
aura	dum flāvit velīs aura secunda meīs	so long as a favorable wind blew for my sails
aureus	aurea aetās	the golden age
auris	arrēctīs auribus adstant	they stand with their ears upright
auspicium	nōn omnēs habent auspicium magistrātūs	all magistrates do not have the right of taking auspices
auspicium	bona auspicia augur rettulit	the augur reported good omens
auspicium	ductū Germānicī, auspiciīs Tiberiī	under the command of Germanicus, but under the control of Tiberius
aut	aut vincēmus aut moriēmur	we shall either prevail or die
auxilium	auxiliō esse amīcō	to help a friend
auxilium	auxilia rēgis nūllō ōrdine iter fēcerant	the auxiliary troops of the king had made the journey in no formation
axis	paene currū excussus est axe diffrāctō	he was almost flung from the chariot because when axle was broken
axis	mundus versātur circum axem caelī	the earth is turned around the axis of the sky
barbarus	hominēs ferī atque barbarī	savage and uncivilized men
beatus	beātus ille quī procul negōtiīs	that man is fortunate who is far from toils
beneficium	tua beneficia ergā mē	your kindnesses to me
benignus	fortūna nunc mihi nunc aliī benigna	at one time fortune is kind to me, at other times to others
bestia	quid interest inter hominem et bēstiam?	what lies between man and beast?
bibo	nunc est bibendum	now is the time to drink
bis	bis terque	several times
blandus	almae nūtrīcis blanda loquella	the coaxing speech of the nourishing nurse
bonus	omnia mea bona	all my possessions
bracchium	bracchiō sinistrō scūtum mīles tenet	a soldier holds his shield with his left arm
brevi	brevī post Rōmam rediit	a short time later he returned to Rome
brevis	via brevis	a short cut
brevis	breve tempus aetātis	the short span of life
cacumen	cacūmen collis acūtum	sharp summit of a hill
cado	praecipitēs cadunt in aquam	they fall headlong into the water
cado	multī in hāc aciē cecidērunt	many men perished on this battle-line
caecus	Appius Claudius, cui cognōmen Caecō fuit	Appius Claudius, whose surname was Blind
caedo	silvās caedere Caesar īnstituit	Caesar began to cut down the woods
caedo	ille diēs quō Tiberius Gracchus est caesus	that is the day on which Tiberius Gracchus was murdered
caedes	caedēs indē, nōn jam pugna fuit	after that it was no longer a battle, but slaughter
caelestis	nūmen caeleste	divine power
caelestis	in numerum caelestium adscītus est	he has been received into the number of the gods
caelum	mare et terrae et quod tegit omnia caelum	the sea and the lands and the sky which touches all things
caelum	caelum bonum	good weather
campus	campus Mārtius	the Field of Mars
candidus	toga candida	toga worn by candidates for office
candidus	candidus et pulcher puer	a splendid and hansome boy
cano	arma virumque canō	I sing of arms and a man
cano	sī nōn vāna canunt mea somnia	if my dreams portend not lies
canis	cavē canem!	beware of dog!
cantus	āvium citharaeque cantus	the song of birds and the lyre
capio	arma capere	to take up arms
capio	castra hostium capere	to seize the enemy camp
capio	amōre captus	enamoured
capillus	capillī compositī	dressed hair
captivus	nāvēs captīvae	captured ships
caput	capita Rhēnī	the mouth of the Rhine
caput	poena capitis	capital punishment
caput	prō capite atque arce Ītaliae, urbe Rōmānā	on behalf of the capital and the citadel of Italy, Rome
careo	complūrēs diēs frūmentō mīlitēs caruērunt	for several days the soldiers went without corn
carina	quattuor carīnās ex omnī classe dēlēgit	he chose four ships from the entire fleet
carmen	Saliōs per urbem īre canentēs carmina jussit	he ordered the Salii to go through the city singing songs
carpo	recentēs flōrēs carpsit	he gathered fresh flowers
carpo	āeriās carpere viās	to traverse the airy ways
carus	paucīs cārior fidēs quam pecūnia fuit	for a few men loyalty was more dear than money
castellum	agrōs vastat, multa castella et oppida capit	he lays waste to the fields, and seizes many forts and towns
castra	castra bīna mūnīrī jussit	he ordered that the two camps be fortified
castus	ea fēmina mātrōnārum castissima putābātur	that woman was regarded as the most upstanding of married ladies
castus	erat homō castus atque integer	he was an upright and incorruptible man
casus	celsae graviōre cāsū dēcidunt turrēs	high towers crash to the ground with a heavier fall
casus	propter incertōs cāsūs mors cotīdiē imminet nōbīs	on account of uncertain events, death threatens us daily
casus	ibi cāsū erat rēx Ptolemaeus	by chance King Ptolemy was there
causa	Orgetorīgem ex vinculīs causam dīcere coēgērunt	they forced Orgetorix to plead his case in chains
causa	oppugnātiō Saguntī causa bellī Pūnicī secundī fuit	the assault of Saguntum started the second Punic War
causa	dictātor dictus est comitiōrum causā	a dictator was appointed for the sake of the elections
caveo	cavē canem!	beware of dog!
caveo	cāvit nē quā nova cōnsilia orīrentur	he took care that no revolutionary plans would arise
cavus	cavā trabe currimus aequor	we hasten on the sea in a hollow ship
cedo	Thēsēa cēdentem celerī cum classe videt	he sees Theseus departing with his swift fleet
cedo	majōrum nātū auctōritātī cessit	he yielded to the authority of the elders
celo	scelus dominum cēlāre cupiō	I desire to hide the crime from my master
celebro	Graecī Cȳrum laudibus celebrant	the Greeks were were singing the praises of Cyrus
celebro	Antōnius lūdōs Apollinārēs celebrāvit	Antonius celebrated the games of Apollo
celer	manū arcum celerēsque sagittās tenet	he holds a bow and swift arrows in his hand
celsus	stābat celsā in puppī	he was standing on the lofty stern
cena	bonam atque magnam cēnam parāvit	he prepared a good, large meal
censeo	cēterum cēnseō Carthāginem esse dēlendam	furthermore I believe that Carthage must be destroyed
censeo	cēnsuerant patrēs ut praetor scrīberet cōnsulī	the senators had decreed that the praetor write to the consul
censor	cēnsor penes quem jūdicium senātōrum dē dignitāte est	the censor, who judges the merit of the senators
cera	nōmen rettulit in cērās	he entered the name onto the writing tablet
cerno	prīmā lūce hostium aciēs cernēbātur	the battle-line of the enemy was seen at dawn
certamen	ita variō certāmine pugnātum est	thus they fought with varied success
certo	dē prīncipātū certāvimus armīs	we fought with arms over the monarchy
certo	odiō in Romānōs certāvērunt	they vied in ill-will towards the Romans
certe	vir certē fuit dignus tantā glōria	he was a man certainly worthy of such great glory
certe	aut falsa aut certē obscūra opīniō	a conjecture either false or at least unclear
certus	ad hās suspīciōnēs certissimae rēs accēdunt	very well-established facts add to these suspicions
cervix	gladius impendēbat cervīcī	a sword was hanging over his neck
cesso	saepe bona māteria cessat sine artifice	often without a craftsman good material lies unused
cesso	quid morī cessās?	why do you hesitate to die?
ceterum	cēterum cēnseō Carthāginem esse dēlendam	furthermore I believe that Carthage must be destroyed
ceterus	Haeduōs cēterōsque amīcōs Populī Rōmānī dēfendit	he defended the Haedui and the other friends of the Roman people
ceu	māter ad audītās stupuit ceu saxea vōcēs	on hearing these things, the mother was struck senseless as a rock
cibus	cibus in artūs dēditur omnēs	food is distributed into every limb
cieo	āere cīvit virōs	he roused the men with a bronze trumpet
cieo	bella cient	they bring about wars
cingo	Albam Longam mūris cīnxit	he surrounded Alba Longa with walls
cingo	comam laurō cīnctus erat	his head had been encircled with a laurel-crown
cinis	ōrō tē per cinerem frātris tuī mortuī	I beseech you by the ashes of your dead brother
circa	circā Hennam lacūs lūcīque sunt plūrimī	in the neighborhood of Henna there are many pools and groves
circa	puerī et mātrēs paventēs longō ōrdine stant circum	the children and mothers stand round trembling in a long train
circumdo	templum mūrō circumdedērunt	they enclosed the temple with a wall
circumdo	cervīcī ejus bracchia circumdēdit	he put his arms around his neck
circumfundo	circumfundimur dēnsīs armīs	we are surrounded by closely packed weapons
circumvenio	cohortem ā tergō circumveniunt	they surround the cohort from behind
civitas	timōre perculsa erat cīvitās	the state had been overcome by fear
civitas	tōtae Italiae cīvitātem pollicitus est	He promised citizenship to all of Italy
clades	luxuria et ignāvia reī pūblicae clādī sunt	extravagance and cowardice are fatal for a republic
clamor	signa canunt et tollitur clāmor	they sound the signals and a din is raised
clarus	clārā vōce facta patefēcit	he disclosed his deeds in a loud voice
clarus	lūce sunt clāriōra tua cōnsilia	your plans are clearer in the light
clarus	Hippocratēs clārus arte medicīnae	Hippocrates, distinguished in the art of medicine
claudo	aurēs clauserat ad doctissimās vōcēs	he had closed his ears toward the most learned opinions
coepi	pontem īnstituere coepērunt	they began to construct a bridge
coepi	pōns īnstituī coeptus est	the bridge began to be constructed
coerceo	is amnis nūllīs rīpīs coercitus est	that stream has not been confined within any banks
coerceo	vix īram coercēbat	he was barely controlling his anger
coetus	nox nefāriōs coetūs obscūrāvit	the night concealed their wicked meetings
cogo	exercitūs magnāsque cōpiās coēgerat	he had gathered his armies and many troops
cogo	Orgetorīgem ex vinculīs causam dīcere coēgērunt	they forced Orgetorix to plead his case in chains
cogito	caedem prīncipis et rēs novās cōgitat	he contemplates the murder of the emperor and revolution
cognitio	cognitiōnem jūris cōnsequī cupiō	I desire to attain knowledge of justice
cognitio	cognitiō rērum capitālium	investigation of capital cases
cognosco	mīlitēs nātūram montis cognōvērunt	the soldiers have become acquainted with the nature of the mountain
cognosco	Pompōnius dē adventū ejus cognōvit	Pomponius learned of his arrival
cohibeo	sē domī maestus cohibuit	sad, he kept himself at home
cohibeo	cohibēre mōtūs animī turbātōs	to restrain the disorderly impulses of the heart
cohors	duae cohortēs ad id ipsum īnstrūctae	two cohorts arranged for this very purpose
cohortor	cohortātus est ut fortiter pugnārent	he encouraged them to fight bravely
collis	cacūmen collis acūtum	sharp summit of a hill
colo	agrōs coluērunt	they cultivated the fields
colo	memoriam alicujus colere	to honor someone’s memory
colo	hōs deōs colere dēbēmus	we ought to worship these gods
colonia	Capuam colōniam dēdūcere cōnātus est	he tried to found a colony in Capua
color	pudōre rēx colōrem mūtāvit	the king changed color in shame
coma	vērē redeunt arboribus comae	in the spring leaves return to the trees
comes	comitemne sorōrem sprēvistī moriēns?	have you spurned your sister as a companion in death?
comitor	meum iter comitātus est	he accompanied me on my journey
commeatus	praesidia commeātūs nostrōs tuentur	escorts watch over our convoys
commeatus	inimīcōs commeātū prohibēmus	we cut off our enemies from their supplies
committo	cum equitātū Helvētiōrum proelium commīsērunt	they joined battle with the cavalry of the Helvetii
committo	exquīsīvit numquid scelus commissum esset	he investigated whether a crime had been committed
committo	hīs cōnsulibus salūtem nostram committāmus	let us entrust our welfare to these consuls
commodum	commoda sunt in vītā et incommoda	in life there are advantages and disadvantages
commodus	nūlla lēx satis commoda omnibus est	no law satisfies all people completely
communis	omnia cum amīca commūnia habet	he shares all things with his girl friend
commuto	captīvōs commūtāre	to exchange prisoners
comparo	et sē mihi compāret Ajāx?	and Ajax would compare himself to me?
comparo	ea, quae ad proficīscendum pertinēbant, comparāvērunt	they procured those things which were necessary for their departure
comperio	per explōrātōrēs cōnsilia hostium comperit	through scouts he learned of the enemy’s plans
complector	mediam mulierem complectitur	he wraps his arms around his wife’s waist
complector	aliquid cōgitātiōne et mente complectī	to understand something by thinking
compleo	sōl terrās largā lūce complēvit	the sun fills up the lands with abundant light
complures	complūrēs hostium necātī sunt	very many enemy are dead
compono	sī parva licet compōnere magnīs	if it is permitted to compare small with great things
compono	litterās ad aliquem compōnere	to compose a letter to someone
compono	omnēs contrōversiae compōnuntur	all disputes are being settled
comprehendo	eādem mente rēs dissimillimās comprehendimus	with the very same reasoning we comprehend dissimilar things
conor	pontem reficere cōnātus est	he tried to repair the bridge
conor	eī ut īdem cōnārētur persuāsit	he persuaded him to try the same thing
concedo	concessit vītā	he has died
concedo	Caesar mihi concēdit ut absim	Caesar allows me to be absent
concido	ingestīs vulneribus concīdit	he succumbed to the wounds he had received
concipio	cūnctō concēpit corpore flammam	his entire body caught fire
concipio	concipere animō potes quam sīmus fatīgātī?	are you able to imagine how tired we are?
concordia	concordiā rēs parvae crēscunt	small things grow through harmony
concurro	ad arma mīlitēs concurrunt	the soldiers rush to arms
concutio	terra ingentī mōtū concussa est	the earth was shaken by a huge earthquake
condemno	condemnātus est injūriārum	he is condemned because of his wrongdoings
condemno	capitis hominem innocentem condemnāvērunt	they have condemned an innocent man to death
condo	ab urbe conditā	since the founding of the city
condo	sē dēsertō in lītore condunt	they hide on a deserted beach
condicio	hīs condiciōnibus pāx composita est	peace was concluded on these terms
condicio	quae condiciōnēs sunt amīcō meō?	how are things for my friend?
confero	impedīmenta in ūnum locum contulērunt	they brought the baggage together in one place
confero	manum cum hoste cōnferunt	they fight with the enemy
confero	tempora praesentia temporibus praeteritīs cōnfert	he compares the present with the past
confero	sē Rōmam contulit	he travelled to Rome
conficio	cursūs annuōs cōnficit sōl	the sun completes its annual cycles
conficio	nihil est quod nōn cōnficiat vetustās	there is nothing that old age does not destroy
confido	sibi cōnfīsī ex portā prōdīre ausī sunt	full of confidence, they dared to go out from the gate
confirmo	amīcitiam cōnfirmant	they become firm friends
conicio	in vinculā eum conjēcerant	they had put him in chains
conicio	citō conjēcī Lānuviī tē fuisse	I guessed quickly that you were in Lanuvium
coniungo	cōnsuētūdine conjūnctī inter nōs sumus	we are bound together by habit
coniunx	in somnīs inhumātī venit imāgō conjugis	the image of my unburied husband appears in my dreams
conscientia	ascīscunt eum in cōnscientiam	they implicated him in the crime
conscientia	cōnscientia suae īnfirmitātis	awareness of one’s own weakness
conscius	interficiendī Agrippae cōnscius erat	he was privy to the assassination of Agrippa
conscius	sibi nūllīus culpae cōnscius esse	to be conscious of no guilt
conscribo	cohortēs veterānās cōnscrīpsit	he enlisted cohorts of veterans
conscribo	cōnscrīpsit quī esset optimus reī pūblicae status	he described a state’s ideal constitution
consensus	omnium cōnsēnsū	with the agreement of everyone
consequor	cōnsecūtus est mē usque ad forēs	he followed me all the way to the door
consequor	aliquem in itinere cōnsequī	to catch up to someone en route
consequor	amplissimōs honōrēs cōnsecūtus est	he has risen to the highest offices of state
consido	positīs sēdibus consedērunt	they sat down on the seats that had been set down
consilium	cōnsiliīs nocturnīs adesse	to be present at nocturnal deliberations
consilium	impetū magis quam cōnsiliō	on an impulse more than with deliberation
consilium	cōnsilium cēpī ut ante lūcem exirem	I decided to go forth before daylight
consisto	īre modō ōcius, modo consistere	to go rather quickly at one moment, to stand still at another
conspectus	dare sē in cōnspectum alicui	to come into someone’s range of sight
conspicio	eōs ex nāve egredientes conspexērunt	they saw them disembarking from the ship
constituo	hominem ante pedēs manilii cōnstituunt	they placed the man before Manilius’ feet
constituo	pretium frūmentō cōnstituēre	to fix the price for grain
constituo	hīs rēbus constitutis	with these things decided
consto	numerus legionum constat	the number of legions remains constant
consto	eīs nōn satis cōnstābat, quid agerent	they were not very sure what they would do
consuesco	in brittanniam navigare consuevērunt	they were used to sailing into Brittannia
consuetudo	nōn est meae consuetudinis ratiōnem reddere	it is not my habit to render an account
consuetudo	cōnsuētūdine conjūnctī inter nōs sumus	we are bound together by habit
consul	cornelio cosso asinio agrippa cōnsulibus	during the consulate of Cornelius Cossus and Asinius Agrippa
consularis	aetās cōnsulāris	the minimum age for the office of consul (43)
consularis	egregios cōnsulēs habēmus, sed turpissimos cōnsulārēs	we have distinguished consuls, but very shameful former consuls
consulo	bellō cōnfectō dē rhodiīs cōnsultum est	after the war the affairs of the Rhodians were considered
consulo	apollinem dē rē consuluērunt	they consulted Apollo about the issue
consulo	quī parti cīvium consulunt, partem neglegunt	he who has regard for a portion of the citizens neglects another part
consumo	bona paterna consumpsit	he has exhausted his father’s possessions
consumo	pecūniā in agrorum emptionibus consumpta est	the money has been spent on purchases of fields
contemno	aliōrum jūdicia contemnit	he attaches no value to the judgements of others
contendo	summā vī contendebant	they were straining with the greatest force
contendo	in prōvinciam contendit	he hurried to the province
contendo	magis virtūte quam dolo contendebant	they were fighting with courage more than with trickery
contineo	vicus altissimis montibus undique continetur	the village is surrounded by very high mountains
contingit	nōn cuivis hominī contingit adīre corinthum	not everyone happens to go to Corinth
contio	advocare populum in contionem	to summon the people into the meeting
contra	reliquī contrā consistere nōn audebant	the remaining men did not dare to stand firm in opposition
contra	quae mē amat, quam ego contrā amō	she loves me, whom I in return love
contra	Carthāgō contrā Italiam est	Carthago lies opposite Italy
contra	pugnāre contrā patriam	to fight against one’s fatherland
contrarius	in contrarias partēs fluere	to flow in opposite directions
convello	simulacrum cereris convellendum curavit	he took care of tearing away the image of Ceres
convello	caede messalinae convulsa principis domus est	the court was severely shaken by the murder of Messalina
convenio	erat ēdictum Pompēī ut omnēs convenirent	there was an edict from Pompeius for all to meet
